IJK,IX,IY,IZ,XC,YC,ZC,__in,caco3_OK,caco3_ID2,caco3_NN,caco3_Lagrange,caco3_KVar
384,20,13,0,309565.0,9762555.0,1165.0,0.375,87.95543,89.30787,91.015,-0.21330415,0.75594765
385,21,13,0,309575.0,9762555.0,1165.0,0.125,88.12188,89.690605,91.015,-0.21194668,0.7484827
410,18,14,0,309545.0,9762565.0,1165.0,0.125,87.59698,88.48638,91.015,-0.20547533,0.74596685
411,19,14,0,309555.0,9762565.0,1165.0,0.375,87.90988,89.17437,91.015,-0.20162061,0.7322904
412,20,14,0,309565.0,9762565.0,1165.0,0.5,88.17679,89.71312,91.015,-0.19670552,0.71382254
413,21,14,0,309575.0,9762565.0,1165.0,0.375,88.38613,90.0949,91.015,-0.19256844,0.6961183
414,22,14,0,309585.0,9762565.0,1165.0,0.125,87.552765,90.24313,91.015,-0.19690573,0.6910485
439,19,15,0,309555.0,9762575.0,1165.0,0.125,88.12335,89.5572,91.015,-0.1869679,0.69576734
440,20,15,0,309565.0,9762575.0,1165.0,0.375,88.450775,90.10624,91.015,-0.17748953,0.66105473
441,21,15,0,309575.0,9762575.0,1165.0,0.5,88.7266,90.48549,91.015,-0.1686067,0.62456495
442,22,15,0,309585.0,9762575.0,1165.0,0.25,85.91873,90.6396,91.015,-0.17848758,0.6108314
468,20,16,0,309565.0,9762585.0,1165.0,0.25,88.75392,90.440155,91.015,-0.15717724,0.60068
469,21,16,0,309575.0,9762585.0,1165.0,0.5,89.133835,90.81893,91.015,-0.14069396,0.5314628
470,22,16,0,309585.0,9762585.0,1165.0,0.375,90.80335,91.242424,91.015,-0.19973764,0.5144011
471,23,16,0,309595.0,9762585.0,1165.0,0.125,90.80269,91.24855,91.015,-0.20569642,0.525376
496,20,17,0,309565.0,9762595.0,1165.0,0.125,89.02287,90.663925,91.015,-0.13994932,0.54658926
497,21,17,0,309575.0,9762595.0,1165.0,0.375,89.53614,91.04459,91.015,-0.11369783,0.43190357
498,22,17,0,309585.0,9762595.0,1165.0,0.5,90.952446,91.30625,91.015,-0.14055546,0.33588284
499,23,17,0,309595.0,9762595.0,1165.0,0.25,90.945,91.3038,91.015,-0.14986785,0.35528147
525,21,18,0,309575.0,9762605.0,1165.0,0.125,89.72723,91.11555,91.015,-0.10159214,0.387712
526,22,18,0,309585.0,9762605.0,1165.0,0.375,91.02544,91.29917,91.015,-0.10800698,0.23355749
