x,y,z,wt
309487.28,9762440.0,1175.3915,0.1415205
309486.9,9762440.0,1178.3458,0.1095437
309486.2,9762441.0,1184.2548,0.14189887
309470.44,9762561.0,1194.1636,0.12420844
309470.06,9762561.0,1197.1179,0.0970701
309469.72,9762561.0,1200.0724,0.11425228
309438.34,9762467.0,1203.0269,0.09632241
309437.97,9762467.0,1205.9812,0.07845122
309437.6,9762467.0,1208.9357,0.09673249
