IJK,IX,IY,IZ,XC,YC,ZC,__in
1581,13,6,1,309495.0,9762485.0,1175.0,0.75
1582,14,6,1,309505.0,9762485.0,1175.0,1.0
1583,15,6,1,309515.0,9762485.0,1175.0,0.875
1584,16,6,1,309525.0,9762485.0,1175.0,0.375
1607,11,7,1,309475.0,9762495.0,1175.0,0.25
1608,12,7,1,309485.0,9762495.0,1175.0,0.5
1609,13,7,1,309495.0,9762495.0,1175.0,0.625
1610,14,7,1,309505.0,9762495.0,1175.0,0.875
1611,15,7,1,309515.0,9762495.0,1175.0,1.0
1612,16,7,1,309525.0,9762495.0,1175.0,0.75
1613,17,7,1,309535.0,9762495.0,1175.0,0.25
1635,11,8,1,309475.0,9762505.0,1175.0,0.25
1636,12,8,1,309485.0,9762505.0,1175.0,0.5
1637,13,8,1,309495.0,9762505.0,1175.0,0.5
1638,14,8,1,309505.0,9762505.0,1175.0,0.625
1639,15,8,1,309515.0,9762505.0,1175.0,0.875
1640,16,8,1,309525.0,9762505.0,1175.0,1.0
1641,17,8,1,309535.0,9762505.0,1175.0,0.625
1642,18,8,1,309545.0,9762505.0,1175.0,0.125
1663,11,9,1,309475.0,9762515.0,1175.0,0.125
1664,12,9,1,309485.0,9762515.0,1175.0,0.375
1665,13,9,1,309495.0,9762515.0,1175.0,0.5
1666,14,9,1,309505.0,9762515.0,1175.0,0.5
1667,15,9,1,309515.0,9762515.0,1175.0,0.75
1668,16,9,1,309525.0,9762515.0,1175.0,1.0
1669,17,9,1,309535.0,9762515.0,1175.0,0.875
1670,18,9,1,309545.0,9762515.0,1175.0,0.375
1692,12,10,1,309485.0,9762525.0,1175.0,0.125
1693,13,10,1,309495.0,9762525.0,1175.0,0.375
1694,14,10,1,309505.0,9762525.0,1175.0,0.5
1695,15,10,1,309515.0,9762525.0,1175.0,0.625
1696,16,10,1,309525.0,9762525.0,1175.0,0.875
1697,17,10,1,309535.0,9762525.0,1175.0,1.0
1698,18,10,1,309545.0,9762525.0,1175.0,0.75
1699,19,10,1,309555.0,9762525.0,1175.0,0.25
1721,13,11,1,309495.0,9762535.0,1175.0,0.125
1722,14,11,1,309505.0,9762535.0,1175.0,0.375
1723,15,11,1,309515.0,9762535.0,1175.0,0.5
1724,16,11,1,309525.0,9762535.0,1175.0,0.625
1725,17,11,1,309535.0,9762535.0,1175.0,0.875
1726,18,11,1,309545.0,9762535.0,1175.0,1.0
1727,19,11,1,309555.0,9762535.0,1175.0,0.625
1728,20,11,1,309565.0,9762535.0,1175.0,0.125
1750,14,12,1,309505.0,9762545.0,1175.0,0.25
1751,15,12,1,309515.0,9762545.0,1175.0,0.5
1752,16,12,1,309525.0,9762545.0,1175.0,0.5
1753,17,12,1,309535.0,9762545.0,1175.0,0.75
1754,18,12,1,309545.0,9762545.0,1175.0,1.0
1755,19,12,1,309555.0,9762545.0,1175.0,0.875
1756,20,12,1,309565.0,9762545.0,1175.0,0.375
1778,14,13,1,309505.0,9762555.0,1175.0,0.125
1779,15,13,1,309515.0,9762555.0,1175.0,0.375
1780,16,13,1,309525.0,9762555.0,1175.0,0.5
1781,17,13,1,309535.0,9762555.0,1175.0,0.625
1782,18,13,1,309545.0,9762555.0,1175.0,0.875
1783,19,13,1,309555.0,9762555.0,1175.0,1.0
1784,20,13,1,309565.0,9762555.0,1175.0,0.75
1785,21,13,1,309575.0,9762555.0,1175.0,0.25
1807,15,14,1,309515.0,9762565.0,1175.0,0.125
1808,16,14,1,309525.0,9762565.0,1175.0,0.375
1809,17,14,1,309535.0,9762565.0,1175.0,0.5
1810,18,14,1,309545.0,9762565.0,1175.0,0.625
1811,19,14,1,309555.0,9762565.0,1175.0,0.875
1812,20,14,1,309565.0,9762565.0,1175.0,1.0
1813,21,14,1,309575.0,9762565.0,1175.0,0.625
1814,22,14,1,309585.0,9762565.0,1175.0,0.125
1836,16,15,1,309525.0,9762575.0,1175.0,0.25
1837,17,15,1,309535.0,9762575.0,1175.0,0.5
1838,18,15,1,309545.0,9762575.0,1175.0,0.5
1839,19,15,1,309555.0,9762575.0,1175.0,0.625
1840,20,15,1,309565.0,9762575.0,1175.0,0.875
1841,21,15,1,309575.0,9762575.0,1175.0,0.875
1842,22,15,1,309585.0,9762575.0,1175.0,0.375
1864,16,16,1,309525.0,9762585.0,1175.0,0.125
1865,17,16,1,309535.0,9762585.0,1175.0,0.25
1866,18,16,1,309545.0,9762585.0,1175.0,0.375
1867,19,16,1,309555.0,9762585.0,1175.0,0.5
1868,20,16,1,309565.0,9762585.0,1175.0,0.75
1869,21,16,1,309575.0,9762585.0,1175.0,1.0
1870,22,16,1,309585.0,9762585.0,1175.0,0.75
1871,23,16,1,309595.0,9762585.0,1175.0,0.25
1894,18,17,1,309545.0,9762595.0,1175.0,0.125
1895,19,17,1,309555.0,9762595.0,1175.0,0.25
1896,20,17,1,309565.0,9762595.0,1175.0,0.5
1897,21,17,1,309575.0,9762595.0,1175.0,0.875
1898,22,17,1,309585.0,9762595.0,1175.0,1.0
1899,23,17,1,309595.0,9762595.0,1175.0,0.5
1924,20,18,1,309565.0,9762605.0,1175.0,0.125
1925,21,18,1,309575.0,9762605.0,1175.0,0.5
1926,22,18,1,309585.0,9762605.0,1175.0,0.875
1927,23,18,1,309595.0,9762605.0,1175.0,0.5
1953,21,19,1,309575.0,9762615.0,1175.0,0.125
1954,22,19,1,309585.0,9762615.0,1175.0,0.5
1955,23,19,1,309595.0,9762615.0,1175.0,0.375
1982,22,20,1,309585.0,9762625.0,1175.0,0.25
1983,23,20,1,309595.0,9762625.0,1175.0,0.25
2010,22,21,1,309585.0,9762635.0,1175.0,0.125
2011,23,21,1,309595.0,9762635.0,1175.0,0.125
2811,11,0,2,309475.0,9762425.0,1185.0,0.25
2812,12,0,2,309485.0,9762425.0,1185.0,0.25
2836,8,1,2,309445.0,9762435.0,1185.0,0.125
2837,9,1,2,309455.0,9762435.0,1185.0,0.375
2838,10,1,2,309465.0,9762435.0,1185.0,0.5
2839,11,1,2,309475.0,9762435.0,1185.0,0.75
2840,12,1,2,309485.0,9762435.0,1185.0,0.75
2841,13,1,2,309495.0,9762435.0,1185.0,0.25
2864,8,2,2,309445.0,9762445.0,1185.0,0.25
2865,9,2,2,309455.0,9762445.0,1185.0,0.625
2866,10,2,2,309465.0,9762445.0,1185.0,0.875
2867,11,2,2,309475.0,9762445.0,1185.0,1.0
2868,12,2,2,309485.0,9762445.0,1185.0,1.0
2869,13,2,2,309495.0,9762445.0,1185.0,0.625
2870,14,2,2,309505.0,9762445.0,1185.0,0.125
2892,8,3,2,309445.0,9762455.0,1185.0,0.125
2893,9,3,2,309455.0,9762455.0,1185.0,0.375
2894,10,3,2,309465.0,9762455.0,1185.0,0.75
2895,11,3,2,309475.0,9762455.0,1185.0,1.0
2896,12,3,2,309485.0,9762455.0,1185.0,1.0
2897,13,3,2,309495.0,9762455.0,1185.0,0.875
2898,14,3,2,309505.0,9762455.0,1185.0,0.375
2921,9,4,2,309455.0,9762465.0,1185.0,0.25
2922,10,4,2,309465.0,9762465.0,1185.0,0.625
2923,11,4,2,309475.0,9762465.0,1185.0,0.875
2924,12,4,2,309485.0,9762465.0,1185.0,1.0
2925,13,4,2,309495.0,9762465.0,1185.0,1.0
2926,14,4,2,309505.0,9762465.0,1185.0,0.75
2927,15,4,2,309515.0,9762465.0,1185.0,0.25
2949,9,5,2,309455.0,9762475.0,1185.0,0.25
2950,10,5,2,309465.0,9762475.0,1185.0,0.5
2951,11,5,2,309475.0,9762475.0,1185.0,0.75
2952,12,5,2,309485.0,9762475.0,1185.0,1.0
2953,13,5,2,309495.0,9762475.0,1185.0,1.0
2954,14,5,2,309505.0,9762475.0,1185.0,1.0
2955,15,5,2,309515.0,9762475.0,1185.0,0.5
2977,9,6,2,309455.0,9762485.0,1185.0,0.125
2978,10,6,2,309465.0,9762485.0,1185.0,0.375
2979,11,6,2,309475.0,9762485.0,1185.0,0.75
2980,12,6,2,309485.0,9762485.0,1185.0,1.0
2981,13,6,2,309495.0,9762485.0,1185.0,1.0
2982,14,6,2,309505.0,9762485.0,1185.0,1.0
2983,15,6,2,309515.0,9762485.0,1185.0,0.75
2984,16,6,2,309525.0,9762485.0,1185.0,0.25
3006,10,7,2,309465.0,9762495.0,1185.0,0.25
3007,11,7,2,309475.0,9762495.0,1185.0,0.75
3008,12,7,2,309485.0,9762495.0,1185.0,1.0
3009,13,7,2,309495.0,9762495.0,1185.0,1.0
3010,14,7,2,309505.0,9762495.0,1185.0,1.0
3011,15,7,2,309515.0,9762495.0,1185.0,1.0
3012,16,7,2,309525.0,9762495.0,1185.0,0.75
3013,17,7,2,309535.0,9762495.0,1185.0,0.25
3034,10,8,2,309465.0,9762505.0,1185.0,0.25
3035,11,8,2,309475.0,9762505.0,1185.0,0.75
3036,12,8,2,309485.0,9762505.0,1185.0,1.0
3037,13,8,2,309495.0,9762505.0,1185.0,1.0
3038,14,8,2,309505.0,9762505.0,1185.0,1.0
3039,15,8,2,309515.0,9762505.0,1185.0,1.0
3040,16,8,2,309525.0,9762505.0,1185.0,1.0
3041,17,8,2,309535.0,9762505.0,1185.0,0.5
3062,10,9,2,309465.0,9762515.0,1185.0,0.25
3063,11,9,2,309475.0,9762515.0,1185.0,0.625
3064,12,9,2,309485.0,9762515.0,1185.0,0.875
3065,13,9,2,309495.0,9762515.0,1185.0,1.0
3066,14,9,2,309505.0,9762515.0,1185.0,1.0
3067,15,9,2,309515.0,9762515.0,1185.0,1.0
3068,16,9,2,309525.0,9762515.0,1185.0,1.0
3069,17,9,2,309535.0,9762515.0,1185.0,0.75
3070,18,9,2,309545.0,9762515.0,1185.0,0.25
3090,10,10,2,309465.0,9762525.0,1185.0,0.25
3091,11,10,2,309475.0,9762525.0,1185.0,0.5
3092,12,10,2,309485.0,9762525.0,1185.0,0.625
3093,13,10,2,309495.0,9762525.0,1185.0,0.875
3094,14,10,2,309505.0,9762525.0,1185.0,1.0
3095,15,10,2,309515.0,9762525.0,1185.0,1.0
3096,16,10,2,309525.0,9762525.0,1185.0,1.0
3097,17,10,2,309535.0,9762525.0,1185.0,1.0
3098,18,10,2,309545.0,9762525.0,1185.0,0.75
3099,19,10,2,309555.0,9762525.0,1185.0,0.25
3118,10,11,2,309465.0,9762535.0,1185.0,0.125
3119,11,11,2,309475.0,9762535.0,1185.0,0.375
3120,12,11,2,309485.0,9762535.0,1185.0,0.5
3121,13,11,2,309495.0,9762535.0,1185.0,0.625
3122,14,11,2,309505.0,9762535.0,1185.0,0.875
3123,15,11,2,309515.0,9762535.0,1185.0,1.0
3124,16,11,2,309525.0,9762535.0,1185.0,1.0
3125,17,11,2,309535.0,9762535.0,1185.0,1.0
3126,18,11,2,309545.0,9762535.0,1185.0,1.0
3127,19,11,2,309555.0,9762535.0,1185.0,0.5
3147,11,12,2,309475.0,9762545.0,1185.0,0.25
3148,12,12,2,309485.0,9762545.0,1185.0,0.5
3149,13,12,2,309495.0,9762545.0,1185.0,0.5
3150,14,12,2,309505.0,9762545.0,1185.0,0.75
3151,15,12,2,309515.0,9762545.0,1185.0,1.0
3152,16,12,2,309525.0,9762545.0,1185.0,1.0
3153,17,12,2,309535.0,9762545.0,1185.0,1.0
3154,18,12,2,309545.0,9762545.0,1185.0,1.0
3155,19,12,2,309555.0,9762545.0,1185.0,0.75
