IJK,IX,IY,IZ,XC,YC,ZC,__in,caco3_OK,caco3_ID2,caco3_NN,caco3_Lagrange,caco3_KVar
410,18,14,0,309545.0,9762565.0,1165.0,0.125,87.49742,88.48638,91.015,-138.79756,294.61758
411,19,14,0,309555.0,9762565.0,1165.0,0.375,87.49743,89.17437,91.015,-138.79747,294.6174
412,20,14,0,309565.0,9762565.0,1165.0,0.5,87.49744,89.71312,91.015,-138.79704,294.61655
413,21,14,0,309575.0,9762565.0,1165.0,0.375,87.49747,90.0949,91.015,-138.79576,294.61398
414,22,14,0,309585.0,9762565.0,1165.0,0.125,86.88369,90.24313,91.015,-150.09628,305.91266
439,19,15,0,309555.0,9762575.0,1165.0,0.125,87.497444,89.5572,91.015,-138.79684,294.61615
440,20,15,0,309565.0,9762575.0,1165.0,0.375,87.49755,90.10624,91.015,-138.79234,294.60715
441,21,15,0,309575.0,9762575.0,1165.0,0.5,87.49806,90.48549,91.015,-138.77399,294.57043
442,22,15,0,309585.0,9762575.0,1165.0,0.25,84.86836,90.6396,91.015,-163.81049,319.56833
468,20,16,0,309565.0,9762585.0,1165.0,0.25,87.498405,90.440155,91.015,-138.76108,294.5446
469,21,16,0,309575.0,9762585.0,1165.0,0.5,87.50412,90.81893,91.015,-138.55083,294.12317
470,22,16,0,309585.0,9762585.0,1165.0,0.375,90.37525,91.242424,91.015,-206.7786,361.46936
471,23,16,0,309595.0,9762585.0,1165.0,0.125,90.37468,91.24855,91.015,-206.90013,361.71365
496,20,17,0,309565.0,9762595.0,1165.0,0.125,87.501236,90.663925,91.015,-138.65723,294.3366
497,21,17,0,309575.0,9762595.0,1165.0,0.375,87.53908,91.04459,91.015,-137.26703,291.51874
498,22,17,0,309585.0,9762595.0,1165.0,0.5,90.421616,91.30625,91.015,-195.7935,338.47736
499,23,17,0,309595.0,9762595.0,1165.0,0.25,90.412315,91.3038,91.015,-197.73277,342.6027
525,21,18,0,309575.0,9762605.0,1165.0,0.125,87.5761,91.11555,91.015,-135.90773,288.69986
526,22,18,0,309585.0,9762605.0,1165.0,0.375,90.50721,91.29917,91.015,-173.4877,284.5663
527,23,18,0,309595.0,9762605.0,1165.0,0.25,90.47589,91.297226,91.015,-180.56999,302.1163
554,22,19,0,309585.0,9762615.0,1165.0,0.125,90.40399,91.285934,91.015,-200.03072,347.5711
555,23,19,0,309595.0,9762615.0,1165.0,0.125,90.398445,91.28713,91.015,-201.18849,349.9764
1411,11,0,1,309475.0,9762425.0,1175.0,0.25,85.38599,90.94679,91.86034,-206.09496,360.1179
1412,12,0,1,309485.0,9762425.0,1175.0,0.25,85.581406,91.57077,91.86034,-202.2534,352.28995
1437,9,1,1,309455.0,9762435.0,1175.0,0.125,82.08488,82.005775,92.348,-139.14316,294.9353
1438,10,1,1,309465.0,9762435.0,1175.0,0.25,82.086624,82.61729,92.348,-138.74632,294.13907
1439,11,1,1,309475.0,9762435.0,1175.0,0.625,85.82453,91.2943,91.822334,-132.81161,282.15753
1440,12,1,1,309485.0,9762435.0,1175.0,0.75,87.31003,91.88179,91.86034,-146.12148,221.55931
1441,13,1,1,309495.0,9762435.0,1175.0,0.25,86.27357,91.906044,91.86034,-180.74136,305.72464
1465,9,2,1,309455.0,9762445.0,1175.0,0.125,81.99514,81.73427,92.348,-104.36004,260.15762
1466,10,2,1,309465.0,9762445.0,1175.0,0.375,81.99733,82.474846,92.348,-104.06361,259.56183
1467,11,2,1,309475.0,9762445.0,1175.0,0.625,82.0882,83.44959,91.822334,-100.13218,251.17012
1468,12,2,1,309485.0,9762445.0,1175.0,0.875,86.10771,91.8362,91.822334,-87.08372,191.06636
1469,13,2,1,309495.0,9762445.0,1175.0,0.75,86.096985,91.74765,91.822334,-183.8926,312.84814
1470,14,2,1,309505.0,9762445.0,1175.0,0.25,85.46893,91.43195,91.822334,-205.75174,359.42587
1494,10,3,1,309465.0,9762455.0,1175.0,0.25,81.995766,82.10951,92.348,-104.277054,259.99133
1495,11,3,1,309475.0,9762455.0,1175.0,0.5,82.00803,82.85857,91.822334,-103.57402,258.5666
1496,12,3,1,309485.0,9762455.0,1175.0,0.75,82.06215,83.4943,91.822334,-102.01311,255.29547
1497,13,3,1,309495.0,9762455.0,1175.0,1.0,84.24469,91.000275,91.822334,-136.79424,290.5622
1498,14,3,1,309505.0,9762455.0,1175.0,0.5,84.151535,90.56337,91.822334,-138.43382,293.89893
1522,10,4,1,309465.0,9762465.0,1175.0,0.125,84.89427,86.49113,92.32667,-100.44492,256.24442
1523,11,4,1,309475.0,9762465.0,1175.0,0.375,84.899475,88.37875,91.822334,-100.379364,256.11313
1524,12,4,1,309485.0,9762465.0,1175.0,0.75,84.90586,89.454926,91.822334,-100.291664,255.93712
1525,13,4,1,309495.0,9762465.0,1175.0,1.0,80.670494,82.79383,91.822334,-139.03236,294.70218
1526,14,4,1,309505.0,9762465.0,1175.0,0.75,84.13395,89.60244,91.822334,-138.74387,294.5208
1527,15,4,1,309515.0,9762465.0,1175.0,0.25,84.13188,89.219574,91.822334,-138.7803,294.59372
1551,11,5,1,309475.0,9762475.0,1175.0,0.25,84.893745,86.82098,92.32667,-100.45875,256.27206
1552,12,5,1,309485.0,9762475.0,1175.0,0.625,84.894104,87.85483,91.822334,-100.45448,256.26355
1553,13,5,1,309495.0,9762475.0,1175.0,0.875,84.592865,88.32975,91.822334,-106.2544,262.06546
1554,14,5,1,309505.0,9762475.0,1175.0,1.0,84.548706,88.55453,91.822334,-132.29999,288.1158
1555,15,5,1,309515.0,9762475.0,1175.0,0.625,84.13155,88.29836,91.822334,-138.7861,294.60532
1556,16,5,1,309525.0,9762475.0,1175.0,0.125,84.621155,88.233215,91.822334,-132.29788,288.1178
