BHID,FROM,TO,_len,caco3,_acum,azmm,dipm,xm,ym,zm,azmb,dipb,xb,yb,zb,azme,dipe,xe,ye,ze,BHIDint,Domain
GL10DH1,0.0,3.0,3.0,0.0,0.0,135.0,79.99999237060547,309413.1841816306,9762598.81581837,1301.5227884054184,135.0,80.00001525878906,309413.0,9762599.0,1303.0,135.0,79.99999237060547,309413.36836346984,9762598.63163653,1300.0455768108368,1,0
GL10DH1,3.0,6.0,3.0,0.0,0.0,135.0,79.99999237060547,309413.55254530907,9762598.447454691,1298.5683652162552,135.0,79.99999237060547,309413.36836346984,9762598.63163653,1300.0455768108368,135.0,79.99999237060547,309413.7367271483,9762598.263272852,1297.0911536216736,1,0
GL10DH1,6.0,9.0,3.0,0.0,0.0,135.0,79.99999237060547,309413.9209089875,9762598.079091012,1295.613942027092,135.0,79.99999237060547,309413.7367271483,9762598.263272852,1297.0911536216736,135.0,79.99999237060547,309414.10509082675,9762597.894909173,1294.1367304325104,1,0
GL10DH1,9.0,12.0,3.0,0.0,0.0,135.0,79.99999237060547,309414.289272666,9762597.710727334,1292.6595188379288,135.0,79.99999237060547,309414.10509082675,9762597.894909173,1294.1367304325104,135.0,79.99999237060547,309414.4734545052,9762597.526545495,1291.1823072433472,1,0
GL10DH1,12.0,15.0,3.0,0.0,0.0,135.0,79.99999237060547,309414.65763634443,9762597.342363656,1289.7050956487656,135.0,79.99999237060547,309414.4734545052,9762597.526545495,1291.1823072433472,135.0,79.99999237060547,309414.84181818366,9762597.158181816,1288.227884054184,1,0
GL10DH1,15.0,18.0,3.0,0.0,0.0,135.0,79.9999771118164,309415.026000157,9762596.973999828,1286.7506724596024,135.0,79.99999237060547,309414.84181818366,9762597.158181816,1288.227884054184,135.0,79.99999237060547,309415.21018213034,9762596.78981784,1285.2734608650208,1,0
GL10DH1,18.0,21.0,3.0,0.0,0.0,135.0,79.99999237060547,309415.39436396956,9762596.605636,1283.7962492704391,135.0,79.99999237060547,309415.21018213034,9762596.78981784,1285.2734608650208,135.0,80.00001525878906,309415.5785456002,9762596.42145437,1282.3190376758575,1,0
GL10DH1,21.0,24.0,3.0,0.0,0.0,135.0,79.99999237060547,309415.7627272308,9762596.23727274,1280.841826081276,135.0,80.00001525878906,309415.5785456002,9762596.42145437,1282.3190376758575,135.0,79.99999237060547,309415.94690907,9762596.0530909,1279.3646144866943,1,0
GL10DH1,24.0,27.0,3.0,0.0,0.0,135.0,79.9999771118164,309416.13109104335,9762595.868908912,1277.8874028921127,135.0,79.99999237060547,309415.94690907,9762596.0530909,1279.3646144866943,135.0,79.99999237060547,309416.3152730167,9762595.684726924,1276.4101912975311,1,0
GL10DH1,27.0,30.0,3.0,0.0,0.0,135.0,79.99999237060547,309416.4994548559,9762595.500545084,1274.9329797029495,135.0,79.99999237060547,309416.3152730167,9762595.684726924,1276.4101912975311,135.0,80.00001525878906,309416.68363648653,9762595.316363454,1273.455768108368,1,0
GL10DH1,30.0,33.0,3.0,0.0,0.0,135.0,79.99999237060547,309416.86781811714,9762595.132181823,1271.9785565137863,135.0,80.00001525878906,309416.68363648653,9762595.316363454,1273.455768108368,135.0,79.99999237060547,309417.05199995637,9762594.947999984,1270.5013449192047,1,0
GL10DH1,33.0,36.0,3.0,0.0,0.0,135.0,79.9999771118164,309417.2361819297,9762594.763817996,1269.024133324623,135.0,79.99999237060547,309417.05199995637,9762594.947999984,1270.5013449192047,135.0,79.99999237060547,309417.42036390305,9762594.579636008,1267.5469217300415,1,0
GL10DH1,36.0,39.0,3.0,0.0,0.0,135.0,79.99999237060547,309417.6045457423,9762594.395454168,1266.06971013546,135.0,79.99999237060547,309417.42036390305,9762594.579636008,1267.5469217300415,135.0,80.00001525878906,309417.7887273729,9762594.211272538,1264.5924985408783,1,0
GL10DH1,39.0,42.0,3.0,0.0,0.0,135.0,79.99999237060547,309417.9729090035,9762594.027090907,1263.1152869462967,135.0,80.00001525878906,309417.7887273729,9762594.211272538,1264.5924985408783,135.0,79.99999237060547,309418.1570908427,9762593.842909068,1261.638075351715,1,0
GL10DH1,42.0,45.0,3.0,0.0,0.0,135.0,79.9999771118164,309418.34127281606,9762593.65872708,1260.1608637571335,135.0,79.99999237060547,309418.1570908427,9762593.842909068,1261.638075351715,135.0,79.99999237060547,309418.5254547894,9762593.474545091,1258.6836521625519,1,0
GL10DH1,45.0,48.0,3.0,0.0,0.0,135.0,79.99999237060547,309418.7096366286,9762593.290363252,1257.2064405679703,135.0,79.99999237060547,309418.5254547894,9762593.474545091,1258.6836521625519,135.0,79.99999237060547,309418.89381846786,9762593.106181413,1255.7292289733887,1,0
